nama,like_count,text
@user-fp4rd7pe6n,0,"<a href=""https://www.youtube.com/watch?v=FKImOfLQTbw&amp;t=2h16m55s"">2:16:55</a>"
@user-fp4rd7pe6n,0,Kami sekeluarga Tanggerang banten siap memilih pak prabowo
@user-lu5pb8yr6c,0,1 di buka<br>2 di coblos. ✌️✌️<br>3 di tutup.
@sischaluoweicheng8101,0,taiwan hadir menyimak<br><br><br>salam Gemoy✌✌✌
@user-uz7zb8vw6s,0,All in prabowo
@ayushop-xy1qf,0,wong jowo pasti milih pak ganjarmd.bismillah
@yanuareap6548,0,Katanya tidak boleh menjatuhkan....haduh2....payah
@suyantosurahman8687,0,Alloh swt melarang Debat dan menganjurkan Musyawarah... Tidak saling mencela ato menjatuhkan tapi Saling mengisi saling melengkapi sehingga NKRI Kuat Sejahtera.. Moga Barakah...Aamiiin<br>Mohon maaf lahir bathin🙏🙏
@hanaadu8931,0,Panjang umur bapak Prabowo.
@velovergie0723,0,pak probowo aku milih km pak
@opanexplore9428,0,Ari karyawan pbrik naik 35rbu ampun
@user-bn9hq2ru9k,0,allah maha tau mana yg munafik
@rohanasangia3095,0,Mantap pak anies
@daniyonodanitrenggalek178,0,Assalamualaikum good night 😊 Indonesian 🇮🇩💪💵🧑‍🏫🧑‍🎓
@user-bn9hq2ru9k,0,anis tau apa
@ajisrudin6213,0,Ribut nya penonton secara langsung<br>Saran sihh klw adakan siaran langsung di tiadakan saja penonton bkin ribut saja
@lupusbilal3097,0,Yg namanya manusia g bakal mau dipingpin dengan seorang burung mungkin manusia nya g waras pilih burung sebagai pengpin
@user-xk7bc9dw3z,0,"Cara berbicara pintar ganjar, cara kefasihan pintar anies. Tp yg tulus klihatan dri pak prabowo"
@nanangirwandy5295,1,"Mas wowo kalau sudah debat capres...jangan Baper ya...., katanya menhan ..satria...., jgn lah umpat umpat lagi...., jadi ksatria macam jendral Sudirman...., okay mas wowo...atu lagi kalau ditanya jawab...jgn bilang kurang waktu..terus...,😅😅😅"
@hjandiri5678,0,?was
@Amaliaananta_,1,Prabowo❤❤❤❤❤
@mashudihudi9943,0,anis kyknya kok gimna menyerang pribadi kyknya
@muhamadfadlimubarok3954,0,Semangat pa saya mendukung BPK prabowo
@hanifashani4802,0,"Ayo bpk  prabowo smngat bismillah, klo niat baik angkt rakyat indonesia buat tdk klparan kena sandang ogah mual sulit krjaan, dan benta korupsi dan kjhatan apa pun 😅☝👍🙏🌹👌 semoga amnah 🙏👍"
@ramdjima7972,1,mantap AMIN
@hanifashani4802,0,"Aslmualikum santun siang 🙏 semoga amnah buat capres, makmurkn rskyat berantas korupsi dan kjahtan apa pun ,tegak keadilan ,peduli rakyatnya, kita butuh bukti nyata, 🙏☝👍"
@faizalbilal9348,0,"Intinya permasalahan di Indonesia ini adalah hutang negara dan korupsi di Indonesia. Beres masalah itu insallah rakyat sejahtera,"
@donnytridianto9946,6,Paslon 03 sudah belajar dari debat pertama ketika pak Anies memberikan pernyataan penutup dengan kata terakhir &quot; Wakanda no more Indonesia forever.&quot; Sedangkan paslon 02 clossingnya begitu terus seakan akan seperti tidak ada persiapan 😂
@blibis-bo7js,7,Lihat mata mereka bertiga. Pak prabowo lah yg memiliki sorot mata tulus❤
@blibis-bo7js,1,😅prabowo tetap pilihan  ku❤meski di hujat tetap maju dan pasti menang. Yes yes yes prabowo
@QueenMalla,0,Debatnya terbawa sampe komentar
@so_sweetstar5373,0,Maaf banyak tidak nyambung jawaban Paslon 2.
@DedySusanto-vy8gc,1,Tetap no 2 mau diapakan juga ga akan pernah milih anis.  No 2 jos iklas ridho. ❤❤
@ShofiElectone,0,Pake teks???
@user-mz3vm3jo8r,0,Yg satu doyan nonton bok*p yg satu pintar berkata2
@fajarramadhan9735,1,Pak Prabowo the best respect saya pakk🎉🎉🎉🎉🎉 . Semoga bapak menang .... Anisss monohok kelihatan sok pinter si jago ngomong tapi blunderr 🤣🤣🤣🤣 . Kalo di kelas itu tipe orang paling di benci teman² 🤣🤣🤣🤣🤪🤪🤪🤪🤪
@lailyhari7059,0,Si rambut putih oh tidak.<br>Anis nao nao.<br>Prabowo 👍👍👍👍👍
@Indi-le6ff,0,bismillah pak Prabowo 💪
@nuraeni7096,0,Dulu sya tidak mndukung pa Prabowo tp skrng sya ingin mndukung beliau semoga menang Abah Prabowo..😢
@riskyayu8081,0,Anis mantap
@farisgakindo7776,0,Sotau
@farisgakindo7776,0,Kenapa yaah selalu menyenggol gada apa yaah kaitan nya dengan<br>Pak Parawobo
@KimikoaTv,1,"Jujur setelah liat debat ini saya pindah memilih 02, . Tetap fokus pda program meski diserang"
@farisgakindo7776,0,Tak usah mengurus Palestina yaah pak  Anis
@meme123.official,0,Debat cawapres kok malah bahas jabatan yg udah lewat bukann a bahas visimisi kedepan aneh kasian tu no urut dua di srang...semngat yg jujur dan beraih insyaallah jadi
@palinggantengbro,0,ap cma gue ya yg ngrasa klo 2 calon itu ktika sesi tanya jawab  arahnya mnjtuhkan pak parbowo smua 🤔 <br>pdahal mrka berdua tidak pernah jdi mntri prthnan dan tidak ada penglaman dlam hal tersbut!<br>Ap mungkin krna survey suara  sementara yg terbnyak adlah psangan prbowo gibran 😂😂<br>Shingga 2 cpres trsbut <br>mncba untuk mnghsut dan mnjtuhkan prbowo di ruang public<br>Berhrap spya dpat suara tmbhan dri rkyat 😂😂
@witanyoyok765,0,"terlihat siapa yang ambisius mendapatkan jabatan ,sabar pak prabowo ,tangal 14 kita buktikan rakyat indonesia akan membalas semuanya atas apa yang mereka berdua lakukan terhadap pak prabowo ,bukan mereka yang menentukan siapa pemenangnya tetapi kami rakyat indonesia yang menentukan"
@dokterforkliftnusantara8486,0,Wkwkwk
@user-jt8xv7hd4f,0,Yg bilang Prabowo iklhas..<br>Dari debat sini kita sudah tau.. wibawa Prabowo gak ad...
@nelifkusnadi6941,0,"Pak Anis pak Anis ampun deh gw, jawaban banyak keliru giliran mojokin pak Prabowo lancar aneh gw"
@popinurjanah3406,1,hnya omongan prabowo yang bisa dipahami otak
@Syahrz,0,Prabowo Bahas Negara <br><br>Anies &amp; Ganjar Bahas Prabowo <br><br>😂
@SuhaningMegalistina,0,Salam 2 jari.........
